2026-06-02 15:01:52 | DEBUG    | ob_detector | OBs detected: 30 total | 19 active (18 bull / 1 bear)
2026-06-02 15:02:23 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:02:53 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:03:23 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:03:53 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:04:23 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:04:53 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:05:24 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:05:54 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:06:24 | DEBUG    | ob_detector | OBs detected: 30 total | 19 active (18 bull / 1 bear)
2026-06-02 15:06:55 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:07:25 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:07:56 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:08:26 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:08:56 | DEBUG    | ob_detector | OBs detected: 30 total | 19 active (18 bull / 1 bear)
2026-06-02 15:09:26 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:09:56 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:10:26 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:10:56 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:11:26 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:11:57 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:12:27 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:12:57 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:13:28 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:13:58 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:14:29 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:14:59 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:15:29 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:16:00 | DEBUG    | ob_detector | OBs detected: 30 total | 21 active (18 bull / 3 bear)
2026-06-02 15:16:30 | DEBUG    | ob_detector | OBs detected: 30 total | 19 active (18 bull / 1 bear)
2026-06-02 15:17:00 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:17:30 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:18:00 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:18:30 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:19:01 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:19:31 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:20:02 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:20:32 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:21:02 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:21:33 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:22:03 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:22:33 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:23:03 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:23:33 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:24:03 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:24:36 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:25:04 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:25:35 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:26:04 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:26:35 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:27:05 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:27:35 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:28:05 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:28:35 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:29:06 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:29:36 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:30:06 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:30:36 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:31:06 | DEBUG    | ob_detector | OBs detected: 30 total | 19 active (18 bull / 1 bear)
2026-06-02 15:31:36 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:32:07 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 15:32:36 | DEBUG    | ob_detector | OBs detected: 30 total | 19 active (18 bull / 1 bear)
2026-06-02 15:33:06 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 15:33:37 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
